branchName,category,subCategory,half,year,itemCode,size,quantity,codes
WAREHOUSE,LX,3P,9,24,T,34,,3PLX0924T34XLNKWJ
WAREHOUSE,LX,3P,9,24,T,34,,3PLX0924T34JOV29C
WAREHOUSE,LX,3P,9,24,T,34,,3PLX0924T34297081
WAREHOUSE,LX,3P,9,24,T,34,,3PLX0924T34PF7Y5A
WAREHOUSE,LX,3P,9,24,BZ,40,,3PLX0924BZ40HXMISJ
WAREHOUSE,LX,3P,9,24,BZ,40,,3PLX0924BZ40RAPWYY
WAREHOUSE,LX,3P,9,24,BZ,40,,3PLX0924BZ40N12E8B
WAREHOUSE,LX,3P,9,24,BZ,40,,3PLX0924BZ4005Y0VR
WAREHOUSE,LX,3P,9,24,WC,40,,3PLX0924WC40JU0UNN
WAREHOUSE,LX,3P,9,24,WC,40,,3PLX0924WC40Y6DHL5
WAREHOUSE,LX,3P,9,24,WC,40,,3PLX0924WC40KSKCSH
WAREHOUSE,LX,3P,9,24,WC,40,,3PLX0924WC40YQH02K
WAREHOUSE,LX,3P,9,24,T,36,,3PLX0924T367F1IQD
WAREHOUSE,LX,3P,9,24,T,36,,3PLX0924T36Y8W140
WAREHOUSE,LX,3P,9,24,T,36,,3PLX0924T36E3QLHG
WAREHOUSE,LX,3P,9,24,T,36,,3PLX0924T367LB6M1
WAREHOUSE,LX,3P,9,24,BZ,42,,3PLX0924BZ42QW0IN1
WAREHOUSE,LX,3P,9,24,BZ,42,,3PLX0924BZ422ZQ75J
WAREHOUSE,LX,3P,9,24,BZ,42,,3PLX0924BZ421G9ZO0
WAREHOUSE,LX,3P,9,24,BZ,42,,3PLX0924BZ42ZEY4MK
WAREHOUSE,LX,3P,9,24,WC,42,,3PLX0924WC4239UNNV
WAREHOUSE,LX,3P,9,24,WC,42,,3PLX0924WC42TDVQ74
WAREHOUSE,LX,3P,9,24,WC,42,,3PLX0924WC42TOQ66J
WAREHOUSE,LX,3P,9,24,WC,42,,3PLX0924WC42CPE077
WAREHOUSE,LX,3P,9,24,T,38,,3PLX0924T38HPK2ZS
WAREHOUSE,LX,3P,9,24,T,38,,3PLX0924T38IY6UEV
WAREHOUSE,LX,3P,9,24,T,38,,3PLX0924T385O08SW
WAREHOUSE,LX,3P,9,24,T,38,,3PLX0924T38ME9WWR
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ340E17AB
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ3440C8RX
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34K46K1R
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34RUVERK
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ346RDOU6
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34FBSKWP
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ340SIKHG
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34DMQH3F
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34QA8E3B
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34ECVNQV
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ34XHO1KX
WAREHOUSE,LX,B,9,24,BZ,34,,BLX0924BZ340QSC8F
WAREHOUSE,LX,B,9,24,WC,34,,BLX0924WC34Z253D1
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30X40RP3
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30WT1PEO
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30Z83IDM
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30BJ4W2A
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30GHNEIK
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30GZKYQ1
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30DADB8W
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T30H0RV6D
WAREHOUSE,LX,B,9,24,T,30,,BLX0924T3084UPNE
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36WD0IEE
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36805X2J
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36V955HZ
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36KMEWB2
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36XXP63P
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36ZM793I
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36AWUF60
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36LQPVA5
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36IKSHVF
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36D2YKUV
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ363VPPIH
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ365O8NHJ
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36MK4NVF
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36JBUC7B
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ36REXUBY
WAREHOUSE,LX,B,9,24,BZ,36,,BLX0924BZ362G4MMP
WAREHOUSE,LX,B,9,24,WC,36,,BLX0924WC36KHATEO
WAREHOUSE,LX,B,9,24,WC,36,,BLX0924WC36482YCU
WAREHOUSE,LX,B,9,24,WC,36,,BLX0924WC362RTSKA
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T323SJOIO
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32MIPWVT
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32TA5X3V
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32XL9QRL
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32S4TR5Q
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T322ZJ27Z
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32ZBFILZ
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32X10YUG
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32SMUVOS
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T326E0IYZ
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32WJOHGA
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T323GJPBR
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32A9M2E6
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T320RMCKR
WAREHOUSE,LX,B,9,24,T,32,,BLX0924T32581JQ8
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ387KZ0AW
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38MSZ753
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ384TD7GE
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ389UDIMH
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ380XEYJ4
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38VZR8RM
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38Q93TNG
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38MTITWB
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38P0X1NR
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ380E572L
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38AUGB78
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ3850VDOT
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ389ZKZXE
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38RNS4TS
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38FRH05G
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38QR70Z3
WAREHOUSE,LX,B,9,24,BZ,38,,BLX0924BZ38M9SBM9
WAREHOUSE,LX,B,9,24,WC,38,,BLX0924WC38KLKWPE
WAREHOUSE,LX,B,9,24,WC,38,,BLX0924WC38WH09M7
WAREHOUSE,LX,B,9,24,WC,38,,BLX0924WC38HOX2AJ
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T346MVD4M
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T343H5ZVJ
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34NH4BNP
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T346ZGKSG
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34VTTW7E
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34JA3954
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T343HI5PI
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34QQT9LQ
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T345IDWJF
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34CYIZ8Q
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34O32Z1Y
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34F91MMT
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34MR71VI
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T343IHPL3
WAREHOUSE,LX,B,9,24,T,34,,BLX0924T34B1CZIU
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40WSK6MI
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40JVI0Q5
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40CYWBXI
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40VPRKTA
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40AJZAYV
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40DT5XCD
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40A60979
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40IKWF40
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40WW030R
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40REAEIZ
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40EGRXJK
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ406F6UJD
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40IMV492
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ401WOXAR
WAREHOUSE,LX,B,9,24,BZ,40,,BLX0924BZ40BGTTE5
WAREHOUSE,LX,B,9,24,WC,40,,BLX0924WC40F2TVO2
WAREHOUSE,LX,B,9,24,WC,40,,BLX0924WC40HTTQ1Y
WAREHOUSE,LX,B,9,24,WC,40,,BLX0924WC40YN3HBR
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T363DB54M
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36U6GCR1
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36X4E11Z
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36FUKLR4
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T365X3IC3
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36I9HLO0
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36PU01PZ
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36PRPR2B
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36SN6EB2
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36CKH484
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36YVLE5Q
WAREHOUSE,LX,B,9,24,T,36,,BLX0924T36D592MT
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42HRD57D
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42LSZNMV
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42LVFV9O
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42D2G9GU
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42X4DZGB
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42OK0WP1
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42YDR2SH
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42RQ9IYD
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42WYE32A
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42G2VBM4
WAREHOUSE,LX,B,9,24,BZ,42,,BLX0924BZ42ZZ4VBF
WAREHOUSE,LX,B,9,24,WC,42,,BLX0924WC42NHFAHR
WAREHOUSE,LX,B,9,24,WC,42,,BLX0924WC42QBWZIV
WAREHOUSE,LX,B,9,24,WC,42,,BLX0924WC42TG5H5X
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38P006AA
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T3853SPRX
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38LRJ9R9
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T389GUYV1
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38SEUB3N
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38U0YDGO
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38ESI8IE
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T387BX87N
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38H693KU
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38JGSOL0
WAREHOUSE,LX,B,9,24,T,38,,BLX0924T38USGJLV
WAREHOUSE,LX,B,9,24,BZ,44,,BLX0924BZ44VPFQI2
WAREHOUSE,LX,B,9,24,BZ,44,,BLX0924BZ44QK65W9
WAREHOUSE,LX,B,9,24,BZ,44,,BLX0924BZ447K8ZL9
WAREHOUSE,LX,B,9,24,T,40,,BLX0924T40ZRJ9BU
WAREHOUSE,LX,B,9,24,T,40,,BLX0924T40X9IU74
WAREHOUSE,LX,B,9,24,T,40,,BLX0924T40U381YP
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ34CTIUEI
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ34LX3TRH
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ34WDIQE3
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ346BUBBY
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ343J405W
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ34R61G6J
WAREHOUSE,LX,IW,9,24,BZ,34,,IWLX0924BZ344SW6IO
WAREHOUSE,LX,IW,9,24,T,34,,IWLX0924T34TM259P
WAREHOUSE,LX,IW,9,24,T,34,,IWLX0924T34NGUU9X
WAREHOUSE,LX,IW,9,24,T,34,,IWLX0924T345DYTAR
WAREHOUSE,LX,IW,9,24,T,34,,IWLX0924T34VG7DR3
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36PSEUCW
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36XZ6K6G
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ360E4Q1K
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36AW52GT
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ3637FQTG
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36KUDC7Y
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ362H2HG6
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36S7BAHP
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36FQXSHC
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ366VGUPH
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36112KN0
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36LK6JHG
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36TRMYA1
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36DPJN6U
WAREHOUSE,LX,IW,9,24,BZ,36,,IWLX0924BZ36CUIIVO
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC363FTLQE
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC361V19UW
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC367R9BJC
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC36FQWNW9
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC365WLMOG
WAREHOUSE,LX,IW,9,24,WC,36,,IWLX0924WC363FGOHG
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36M164NC
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36JTOGLA
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36QEN9J6
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36O97KW8
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36TSXGFV
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T365I2KAH
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T362JY7H8
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36MWI3NM
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T367INCJM
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36G0B6TE
WAREHOUSE,LX,IW,9,24,T,36,,IWLX0924T36MY6LM9
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38UIBSAG
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ387XFYFD
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ383DAPWB
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38EZ431W
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ386BUMI4
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38WVWGLD
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38KJ295R
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38W3E25S
WAREHOUSE,LX,IW,9,24,WC,38,,IWLX0924WC381F1BYE
WAREHOUSE,LX,IW,9,24,WC,38,,IWLX0924WC38A0FMVB
WAREHOUSE,LX,IW,9,24,WC,38,,IWLX0924WC38RMMIIA
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38PI7FCW
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38T7WWB9
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T3844XBGU
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T381LA0NY
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38TGF4EK
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38LNRP2X
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40Q2AAR6
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40TXNVB2
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40CVMIXK
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40CQQVJ6
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40WTH1KS
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40OX1GH3
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40DDRYLZ
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40UBW5MI
WAREHOUSE,LX,IW,9,24,BZ,40,,IWLX0924BZ40ZJ6ZVZ
