branchName,Category,Subcategory,Half Value,Year,Item Code,Size,Unique Code,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ34WXZ9U8,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ346EBEHN,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ34H5F7K4,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ34ER86B5,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ34EAU5E9,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,34,3PP0924BZ347S09PH,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC34QQ42WJ,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC348YGS0C,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC34XSJC1T,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC34526W4Z,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC34LNSPVV,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,WC,34,3PP0924WC342BHN0U,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T30HHDM9J,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T304QFJTB,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T30O06R47,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T30RN4LCM,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T30UKXUEL,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,T,30,3PP0924T30HUP3LI,,,,,,,,,
GROOMS Trivandrum,P,3P,9,24,BZ,36,3PP0924BZ36MAWCQC,,,,,,,,,
